data;codcli;Vendedor;produto;des_cat_pro;produto;origem;peso_liquido;valor_total;movimento
28/03/2023;6272;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;20500;30750;ENTRADA
28/03/2023;4653;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2350;2820;ENTRADA
28/03/2023;6272;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;20500;30750;ENTRADA
28/03/2023;6272;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;19700;29550;ENTRADA
11/04/2023;115;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;17080;23058;ENTRADA
11/04/2023;1938;Vendedor I;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;4030;5239;ENTRADA
11/04/2023;1200;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;550;687,5;ENTRADA
22/03/2023;1;Vendedor B;SUCATA MIÚDA INATIVO;FERRO;SUCATA MIÚDA INATIVO;CLASSIFICACAO;27670;43856,95;SAIDA
07/03/2023;1752;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;330;379,5;ENTRADA
07/03/2023;6688;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;268;281,4;ENTRADA
07/03/2023;2230;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;15530;22518,5;ENTRADA
07/03/2023;6342;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1484;1706,6;ENTRADA
07/03/2023;6110;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1440;1656;ENTRADA
07/03/2023;2230;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;14630;21213,5;ENTRADA
07/03/2023;2453;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;420;483;ENTRADA
07/03/2023;2884;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2210;2541,5;ENTRADA
07/03/2023;2230;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;25860;37497;ENTRADA
07/03/2023;1204;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;CLASSIFICACAO;2471;1853,25;ENTRADA
20/03/2023;6700;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;380;418;ENTRADA
20/03/2023;3558;Vendedor P;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;140;154;ENTRADA
20/03/2023;4234;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1170;1462,5;ENTRADA
01/12/2022;6;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1900;1995;ENTRADA
01/12/2022;1779;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2870;3157;ENTRADA
01/12/2022;3958;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;160;168;ENTRADA
01/12/2022;5623;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2163;2379,3;ENTRADA
01/12/2022;6192;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;97;106,7;ENTRADA
01/12/2022;5484;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;180;162;ENTRADA
01/12/2022;6055;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3350;2345;ENTRADA
01/12/2022;4800;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;4540;3859;ENTRADA
01/12/2022;2230;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;18850;23562,5;ENTRADA
01/12/2022;29;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;CLASSIFICACAO;1145;286,25;ENTRADA
01/12/2022;1039;Vendedor M;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;4512;5640;SAIDA
20/03/2023;2453;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;190;218,5;ENTRADA
20/03/2023;3651;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3040;3800;ENTRADA
20/03/2023;776;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;500;625;ENTRADA
20/03/2023;26;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2810;3372;ENTRADA
20/03/2023;6055;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1150;1207,5;ENTRADA
20/03/2023;2884;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3530;4236;ENTRADA
20/03/2023;903;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;CLASSIFICACAO;2240;2688;ENTRADA
20/03/2023;6701;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;CLASSIFICACAO;27280;44930,16;ENTRADA
31/03/2023;4696;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2020;2424;ENTRADA
11/04/2023;3365;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3303;4459,05;ENTRADA
11/04/2023;3651;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1460;1825;ENTRADA
11/04/2023;115;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;13030;17590,5;ENTRADA
11/04/2023;356;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;360;414;ENTRADA
11/04/2023;3557;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;54;62,1;ENTRADA
20/03/2023;5282;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;24650;32045;ENTRADA
20/03/2023;2702;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;7790;9348;ENTRADA
20/03/2023;1318;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;14870;22007,6;ENTRADA
20/03/2023;5282;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;25340;32942;ENTRADA
20/03/2023;4954;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;190;209;ENTRADA
20/03/2023;5951;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;8940;10728;ENTRADA
12/04/2023;2884;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2400;2880;ENTRADA
23/03/2023;3958;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;280;322;ENTRADA
23/03/2023;776;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2012;2615,6;ENTRADA
23/03/2023;1;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;CLASSIFICACAO;14645;23212,33;SAIDA
23/03/2023;1;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;CLASSIFICACAO;15605;24733,93;SAIDA
24/03/2023;2884;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2296;2755,2;ENTRADA
24/03/2023;3908;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2720;3400;ENTRADA
24/03/2023;6150;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;177;221,25;ENTRADA
24/03/2023;1562;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;110;121;ENTRADA
24/03/2023;51;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;705;881,25;ENTRADA
24/03/2023;3726;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;160;176;ENTRADA
24/03/2023;5247;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;140;154;ENTRADA
24/03/2023;6170;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1230;1291,5;ENTRADA
24/03/2023;1151;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;400;460;ENTRADA
24/03/2023;2702;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;224;291,2;ENTRADA
24/03/2023;3870;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;5372;6983,6;ENTRADA
24/03/2023;5757;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;250;275;ENTRADA
24/03/2023;292;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;980;1274;ENTRADA
30/03/2023;3958;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;690;793,5;ENTRADA
02/05/2022;5757;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;40;68;ENTRADA
02/05/2022;40;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3860;7334;ENTRADA
02/05/2022;2884;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1780;3293;ENTRADA
02/05/2022;1938;Vendedor I;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1810;3348,5;ENTRADA
02/05/2022;6150;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;510;969;ENTRADA
02/05/2022;6110;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1230;2152,5;ENTRADA
02/05/2022;46;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;8300;16185;ENTRADA
02/05/2022;631;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;4640;8584;ENTRADA
02/05/2022;6150;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;200;380;ENTRADA
02/05/2022;2453;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;490;882;ENTRADA
02/05/2022;1826;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;370;629;ENTRADA
02/05/2022;6110;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;432;777,6;ENTRADA
02/05/2022;3958;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;920;1656;ENTRADA
02/05/2022;1098;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2640;5016;ENTRADA
02/05/2022;5330;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;8410;15558,5;ENTRADA
02/05/2022;6174;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;CLASSIFICACAO;30232;70425,44;ENTRADA
01/07/2022;3726;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;180;198;ENTRADA
01/07/2022;4053;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;11830;19519,5;ENTRADA
01/07/2022;2946;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;4940;8398;ENTRADA
01/07/2022;4053;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2210;3646,5;ENTRADA
01/07/2022;1886;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;4780;7887;ENTRADA
01/07/2022;143;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;4310;7111,5;ENTRADA
01/07/2022;292;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2400;4080;ENTRADA
01/07/2022;4653;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3060;3519;ENTRADA
01/07/2022;6352;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;90;99;ENTRADA
01/07/2022;776;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3960;5742;ENTRADA
01/07/2022;6192;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;280;336;ENTRADA
01/07/2022;5831;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;670;770,5;ENTRADA
01/07/2022;3782;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;290;319;ENTRADA
01/07/2022;631;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;5530;7742;ENTRADA
01/07/2022;5803;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;220;242;ENTRADA
01/07/2022;6252;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1710;2821,5;ENTRADA
01/07/2022;776;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2960;4144;ENTRADA
01/07/2022;812;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1530;2142;ENTRADA
01/07/2022;1779;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3290;5428,5;ENTRADA
01/07/2022;6192;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;230;276;ENTRADA
01/07/2022;6110;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1690;2366;ENTRADA
04/07/2022;5861;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;12300;20910;ENTRADA
04/07/2022;3958;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;710;923;ENTRADA
04/07/2022;6284;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;290;319;ENTRADA
04/07/2022;4696;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1860;2139;ENTRADA
04/07/2022;55;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1420;1704;ENTRADA
04/07/2022;3303;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;370;444;ENTRADA
04/07/2022;1752;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;310;356,5;ENTRADA
04/07/2022;1552;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2490;4233;ENTRADA
04/07/2022;142;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2270;3972,5;ENTRADA
04/07/2022;6342;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1870;3179;ENTRADA
04/07/2022;1098;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2530;3036;ENTRADA
04/07/2022;1;Vendedor P;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;CLASSIFICACAO;17180;19413,4;SAIDA
04/07/2022;1;Vendedor P;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;CLASSIFICACAO;16050;18136,5;SAIDA
05/07/2022;115;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;13330;15996;ENTRADA
05/07/2022;2884;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2100;2415;ENTRADA
05/07/2022;6342;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1290;2193;ENTRADA
05/07/2022;3782;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;330;363;ENTRADA
05/07/2022;2655;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1630;1793;ENTRADA
05/07/2022;2378;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2230;2564,5;ENTRADA
06/07/2022;292;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1900;2280;ENTRADA
06/07/2022;925;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3620;4344;ENTRADA
06/07/2022;6092;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;190;209;ENTRADA
06/07/2022;26;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3040;3496;ENTRADA
06/07/2022;3782;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;20;22;ENTRADA
06/07/2022;1098;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1980;2376;ENTRADA
06/07/2022;418;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1326;1392,3;ENTRADA
08/07/2022;2599;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2980;3427;ENTRADA
07/07/2022;5251;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;410;451;ENTRADA
07/07/2022;2804;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;410;471,5;ENTRADA
07/07/2022;1151;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;530;609,5;ENTRADA
